id,date,airline,origin,destination,departure_time,arrival_time,flight_time,distance
0,2024-06-20,KS,PHL,SLC,1449,1828,12,633
1,2024-10-08,CP,OKC,ORD,2160,213,6,679
2,2023-06-23,SN,PDX,HOU,1475,1573,10,493
3,2023-09-04,WN,OAK,SAN,89,241,9,614
4,2023-06-17,UA,ATL,SAN,1293,1663,11,805
5,2024-11-20,QF,MSP,OKC,283,434,8,526
6,2024-11-27,G4,DTW,DCA,627,1084,3,835
7,2024-06-01,LH,SLC,ROC,1184,1405,11,340
8,2024-09-22,AF,LGA,ROC,2060,2232,1,224
9,2023-08-21,AX,HNL,JFK,1032,1509,2,243
10,2023-07-08,QX,SEA,SJU,1239,1452,4,594
11,2024-03-02,ZW,ANC,OKC,64,358,14,321
12,2023-10-24,EM,SLC,OMA,346,476,10,62
13,2023-01-07,OH,BUF,PHX,2020,2285,7,344
14,2024-06-10,AC,HNL,BHM,1119,1148,15,47
15,2024-04-16,8V,SFO,ORD,981,1177,12,690
16,2023-06-05,JL,OAK,DEN,2053,141,3,159
17,2023-07-02,VS,CLE,CLE,449,1034,15,239
18,2023-10-16,DL,MSP,TUL,383,662,3,538
19,2023-01-11,SY,SFO,SAN,840,1224,3,354
20,2023-10-01,VX,OAK,LAS,1266,1527,10,671
21,2024-01-25,AC,BWI,DFW,1746,2107,6,732
22,2024-06-18,NK,ROC,OMA,690,1000,11,475
23,2023-04-20,SQ,TPA,PHX,1853,32,11,345
24,2023-04-26,NK,ROC,SNA,900,1414,5,977
25,2024-04-18,QX,CLE,SFO,2344,354,3,655
26,2023-05-17,VS,BUF,BDL,1507,2102,5,168
27,2024-09-14,PT,SAN,TPA,69,292,2,805
28,2023-07-22,AZ,MSP,SNA,1326,1658,11,370
29,2024-09-05,AH,BHM,ANC,987,1222,14,271
30,2024-03-25,LH,OKC,OGG,1533,1762,16,911
31,2023-08-09,CP,DTW,MDW,986,1464,8,914
32,2023-03-21,SN,OGG,TUS,1385,1550,7,472
33,2023-07-11,AH,BUF,DTW,218,794,6,490
34,2024-08-06,SQ,STL,PHX,1916,2083,4,536
35,2023-04-14,DL,SJU,OKC,440,715,1,843
36,2023-01-10,8V,TUL,MKE,1173,1559,12,622
37,2024-01-30,LH,MKE,SMF,1562,2088,12,375
38,2023-10-29,VX,BDL,MCI,374,400,7,481
39,2024-11-10,EM,MCI,LAX,1429,1526,5,769
40,2023-06-30,ZW,DEN,SJU,697,1133,6,538
41,2023-06-07,B6,BHM,TUL,2284,384,2,908
42,2024-04-23,DL,MIA,MCI,1188,1614,12,603
43,2024-03-15,DL,MDW,MSY,1972,2064,2,455
44,2023-01-29,DL,SMF,PHL,1084,1197,14,241
45,2023-07-10,ZW,OKC,ORD,1766,1907,6,98
46,2024-11-24,IB,ABQ,ATL,1892,47,14,154
47,2024-04-15,NK,BWI,DFW,629,976,6,570
48,2024-10-14,JL,DFW,PHX,2019,156,7,699
49,2024-02-05,YV,SLC,MDW,2103,123,14,797
